min_samples_leaf,max_iter,max_depth,max_bins,learning_rate,l2_regularization,rmse,r2
100,1200,3.0,128,0.01,2.782559402207126,0.16308213906082503,0.4192230989753736
20,400,3.0,255,0.01,0.016681005372000592,0.16366967023839488,0.4150308655611763
100,200,7.0,255,0.01,0.7742636826811278,0.16667157730240403,0.39337594554553157
100,800,5.0,255,0.01,2.782559402207126,0.16675074194031433,0.39279954758648616
10,200,,128,0.013949507939624208,10.0,0.16731980588273193,0.3886481359900803
100,1200,3.0,255,0.027144176165949066,0.7742636826811278,0.16740277201625994,0.38804170359154266
200,400,,128,0.01,0.0001,0.1681057506595122,0.3828912885878041
100,1200,3.0,255,0.027144176165949066,0.21544346900318845,0.16822748158159756,0.38199722742634
10,400,,128,0.01,0.016681005372000592,0.1688739255958834,0.37723853078138525
20,200,9.0,128,0.01,0.0001,0.169006283766,0.3762619457901162
200,200,9.0,128,0.013949507939624208,10.0,0.16929648544613954,0.3741180581927712
10,400,3.0,64,0.01,0.00035938136638046257,0.1695492631456981,0.3722476459573716
10,200,9.0,255,0.01945887717576389,0.0001,0.16956706781069195,0.37211579628714075
10,400,3.0,64,0.07368062997280773,0.004641588833612782,0.16962365935600307,0.37169662448416063
10,200,5.0,128,0.027144176165949066,10.0,0.16969728800040604,0.37115105004854076
50,1200,3.0,255,0.03786479009414649,0.016681005372000592,0.16973971293079795,0.37083658176033096
50,200,3.0,128,0.2,10.0,0.16992381589771272,0.3694710360532093
10,400,9.0,255,0.01,0.001291549665014884,0.17027215616695304,0.36688324392764027
20,1200,3.0,128,0.027144176165949066,0.0001,0.17037010082519127,0.3661546663300326
100,400,9.0,255,0.01,0.004641588833612782,0.17040831807639706,0.36587026732859473
20,400,5.0,255,0.03786479009414649,0.00035938136638046257,0.17049589895248515,0.3652182814411181
50,200,3.0,128,0.14337423288737733,0.016681005372000592,0.17061238399974724,0.3643506026498462
200,1200,3.0,128,0.052819519005050046,0.7742636826811278,0.17118327259903016,0.3600895740777571
50,200,7.0,64,0.01,0.7742636826811278,0.17134817963304705,0.35885608254382906
10,200,5.0,128,0.013949507939624208,0.001291549665014884,0.171542651478637,0.35739992238420426
20,200,5.0,128,0.027144176165949066,0.0001,0.17163573369716087,0.3567023597827391
200,400,9.0,128,0.01945887717576389,0.0001,0.17164101414777333,0.3566627764908603
100,200,5.0,64,0.07368062997280773,0.7742636826811278,0.1716640268288942,0.35649025470832496
20,800,5.0,64,0.013949507939624208,0.001291549665014884,0.1718015810502892,0.35545855403001114
100,800,7.0,255,0.01,2.782559402207126,0.17193872344993671,0.35442911948428246
100,200,5.0,128,0.027144176165949066,0.05994842503189409,0.17246714390303258,0.35045494713610825
50,400,,128,0.01945887717576389,0.05994842503189409,0.17273358021263394,0.34844649426999796
50,800,5.0,128,0.01,10.0,0.1728038093658866,0.34791657584893154
