PEILDATUM;NETBEHEERDER;PROVINCIE;GEMEENTE;PLAATS                 ;CBS_BUURTCODE_2023;CBS_BUURTNAAM_2023                      ;AANTAL_AANSLUITINGEN_MET_PV;TOTAAL_AANTAL_AANSLUITINGEN;OPGESTELD_VERMOGEN_KW
20240409;Liander;?                       ;?                      ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;1;0
20240409;Liander;?                       ;?                      ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;1;0
20240409;Liander;?                       ;?                      ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;2;0
20240409;Liander;?                       ;?                      ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;3;0
20240409;Liander;?                       ;?                      ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;5;0
20240409;Liander;?                       ;?                      ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;8;0
20240409;Liander;?                       ;?                      ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;9;0
20240409;Liander;Drenthe                 ;Midden-Drenthe         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);1;1;0,25
20240409;Liander;Drenthe                 ;Midden-Drenthe         ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);2;3;32
20240409;Liander;Drenthe                 ;Noordenveld            ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);0;4;0
20240409;Liander;Drenthe                 ;Westerveld             ;Onbepaald (AVG);Onbepaald (AVG);Onbepaald (AVG);2;7;9
20240409;Liander;Flevoland               ;Almere                 ;Almere                 ;?            ;?                                                    ;168;738;621,502
20240409;Liander;Flevoland               ;Almere                 ;Almere                 ;BU00340101   ;Centrum Almere Haven                                 ;54;1.140;265,032
20240409;Liander;Flevoland               ;Almere                 ;Almere                 ;BU00340102   ;De Werven                                            ;454;1.387;1.254,15
20240409;Liander;Flevoland               ;Almere                 ;Almere                 ;BU00340103   ;De Hoven                                             ;262;1.219;820,209
20240409;Liander;Flevoland               ;Almere                 ;Almere                 ;BU00340104   ;De Meenten                                           ;254;1.091;881,901
20240409;Liander;Flevoland               ;Almere                 ;Almere                 ;BU00340105   ;De Grienden                                          ;267;1.005;941,433
20240409;Liander;Flevoland               ;Almere                 ;Almere                 ;BU00340106   ;De Marken                                            ;464;1.371;1.610,94
20240409;Liander;Flevoland               ;Almere                 ;Almere                 ;BU00340107   ;De Gouwen                                            ;444;1.239;1.769,04
20240409;Liander;Flevoland               ;Almere                 ;Almere                 ;BU00340108   ;De Wierden                                           ;617;1.839;1.536,90
20240409;Liander;Flevoland               ;Almere                 ;Almere                 ;BU00340109   ;De Velden                                            ;342;597;1.702,19
20240409;Liander;Flevoland               ;Almere                 ;Almere                 ;BU00340110   ;Overgooi                                             ;146;265;1.366,14
20240409;Liander;Flevoland               ;Almere                 ;Almere                 ;BU00340111   ;De Laren                                             ;302;389;1.467,39
20240409;Liander;Flevoland               ;Almere                 ;Almere                 ;BU00340171   ;De Steiger                                           ;7;155;86,61
20240409;Liander;Flevoland               ;Almere                 ;Almere                 ;BU00340201   ;Centrum Almere Stad                                  ;34;3.169;182,208
20240409;Liander;Flevoland               ;Almere                 ;Almere                 ;BU00340202   ;Filmwijk                                             ;1.203;4.429;4.276,77
20240409;Liander;Flevoland               ;Almere                 ;Almere                 ;BU00340203   ;Danswijk                                             ;467;2.183;1.689,24
20240409;Liander;Flevoland               ;Almere                 ;Almere                 ;BU00340204   ;Parkwijk                                             ;729;2.239;2.699,86
20240409;Liander;Flevoland               ;Almere                 ;Almere                 ;BU00340205   ;Verzetswijk                                          ;493;1.419;1.730,23
