min_samples_leaf,max_iter,max_depth,max_bins,learning_rate,l2_regularization,rmse,r2
50,200,9.0,64,0.027144176165949066,0.7742636826811278,0.10889456751659644,0.5187758189471638
10,800,,255,0.01945887717576389,0.00035938136638046257,0.10932423197899707,0.5149708018710927
10,200,5.0,128,0.027144176165949066,10.0,0.10954017969764387,0.5130527569124593
20,1200,,64,0.013949507939624208,0.001291549665014884,0.10968881056930913,0.5117304203033063
50,200,7.0,64,0.027144176165949066,0.21544346900318845,0.11022384816093102,0.5069554624896737
20,800,5.0,128,0.013949507939624208,0.21544346900318845,0.11084798371463869,0.5013559870254052
10,400,3.0,64,0.01,0.00035938136638046257,0.11089545856000312,0.5009287692077462
10,1200,,128,0.013949507939624208,10.0,0.11096677100058834,0.5002866972743097
50,800,5.0,128,0.01,10.0,0.11099464136807201,0.5000356501863958
20,400,3.0,255,0.01,0.016681005372000592,0.11155274016850383,0.4949952085413316
200,200,9.0,255,0.2,0.004641588833612782,0.11163210918441684,0.4942763379477597
20,400,5.0,128,0.10278085328021955,0.001291549665014884,0.11173461693177345,0.49334713584925594
100,1200,3.0,128,0.01,2.782559402207126,0.11192428112833748,0.4916256377410426
50,400,9.0,64,0.03786479009414649,0.0001,0.11194843915338006,0.4914061563940719
100,1200,3.0,255,0.027144176165949066,0.7742636826811278,0.11236704801027882,0.48759547459841335
100,200,5.0,128,0.027144176165949066,0.05994842503189409,0.11243875047382113,0.4869413257223194
50,800,7.0,128,0.01,0.00035938136638046257,0.1125382434430491,0.4860329500078241
50,400,5.0,128,0.052819519005050046,0.004641588833612782,0.11272967599529464,0.48428290124149065
100,200,,64,0.14337423288737733,0.7742636826811278,0.11281643335650819,0.4834887985145029
10,1200,,128,0.01945887717576389,0.05994842503189409,0.11294182509774102,0.4823399901403903
200,400,9.0,255,0.052819519005050046,0.21544346900318845,0.11342698214399066,0.477883079372857
10,800,9.0,255,0.01945887717576389,0.7742636826811278,0.11366718307227712,0.47566939514565143
10,1200,9.0,255,0.013949507939624208,0.7742636826811278,0.11376282014167381,0.4747867034711707
50,200,3.0,128,0.14337423288737733,0.016681005372000592,0.11392625467651854,0.4732765501677263
200,400,,128,0.01,0.0001,0.11481649998508384,0.46501251695684676
100,1200,3.0,255,0.027144176165949066,0.21544346900318845,0.11514914349584561,0.46190812158845984
100,400,9.0,128,0.14337423288737733,0.05994842503189409,0.11520712208728999,0.46136611732487276
50,200,7.0,64,0.01,0.7742636826811278,0.11522688820720141,0.4611812743212582
200,400,9.0,128,0.01945887717576389,0.0001,0.11527090488391319,0.4607695381375785
200,1200,,64,0.07368062997280773,0.0001,0.11563527252419434,0.45735516984237257
50,200,,255,0.10278085328021955,2.782559402207126,0.11575235879454734,0.45625570555851236
200,1200,7.0,64,0.10278085328021955,0.05994842503189409,0.11579142866543286,0.45588858380229613
10,1200,7.0,64,0.052819519005050046,0.004641588833612782,0.11600391716995166,0.4538897569971495
10,200,,128,0.013949507939624208,10.0,0.11613546174717825,0.45265051312250015
50,800,,64,0.2,0.001291549665014884,0.1162016771539521,0.4520261852822235
10,400,,128,0.052819519005050046,0.0001,0.11624363024436446,0.4516304363476267
50,400,,128,0.01945887717576389,0.05994842503189409,0.11630808941676571,0.45102210626425054
100,800,7.0,64,0.03786479009414649,0.004641588833612782,0.11631457201747311,0.4509609083943913
200,1200,5.0,128,0.07368062997280773,2.782559402207126,0.11649054440681582,0.44929836854048
10,800,,255,0.10278085328021955,0.00035938136638046257,0.11658854397095678,0.44837140539377995
10,800,7.0,64,0.07368062997280773,0.05994842503189409,0.11669054209291034,0.4474057926387961
10,400,9.0,255,0.01,0.001291549665014884,0.11673426193430207,0.4469916398464243
100,800,,128,0.052819519005050046,10.0,0.11675196707992103,0.44682387699954684
50,400,9.0,255,0.2,2.782559402207126,0.1169131117404129,0.44529580173705474
200,200,9.0,128,0.013949507939624208,10.0,0.11700129151213366,0.44445873333615904
20,1200,7.0,255,0.013949507939624208,0.00035938136638046257,0.11714865411293811,0.4430584486079424
50,1200,9.0,128,0.01945887717576389,0.7742636826811278,0.11743500079045666,0.4403324545168519
200,200,,128,0.10278085328021955,0.004641588833612782,0.1175736356536703,0.4390102723532111
100,1200,7.0,128,0.052819519005050046,2.782559402207126,0.11807119508387956,0.4342521249462298
10,200,9.0,255,0.01945887717576389,0.0001,0.11813367341338192,0.43365322638847814
20,800,7.0,64,0.052819519005050046,2.782559402207126,0.11836017544983736,0.4314793894022053
200,800,7.0,255,0.14337423288737733,0.7742636826811278,0.11850251006594881,0.430111212681872
20,400,9.0,255,0.14337423288737733,0.001291549665014884,0.11916047177276048,0.4237652549731574
100,800,5.0,255,0.01,2.782559402207126,0.11955227574244308,0.41996966355026644
200,1200,3.0,128,0.052819519005050046,0.7742636826811278,0.11982891066867185,0.4172822652449897
50,800,3.0,255,0.14337423288737733,0.0001,0.12001836408377506,0.41543821716700735
10,200,5.0,128,0.013949507939624208,0.001291549665014884,0.12003921948436264,0.41523504276997114
50,400,7.0,64,0.2,0.0001,0.12035197385665523,0.4121839391548542
200,1200,3.0,64,0.14337423288737733,10.0,0.12036999429063916,0.41200789728020837
100,200,5.0,64,0.14337423288737733,0.016681005372000592,0.12039451048045653,0.41176835595436534
200,800,,255,0.10278085328021955,0.004641588833612782,0.12078220115717882,0.407973845621424
20,200,7.0,128,0.14337423288737733,0.016681005372000592,0.12120048100029518,0.40386626367945766
20,800,7.0,255,0.07368062997280773,0.00035938136638046257,0.12133201998761803,0.4025715925828163
100,200,9.0,255,0.10278085328021955,0.004641588833612782,0.12169985738588822,0.3989437023599166
50,200,3.0,128,0.2,10.0,0.12190186300368981,0.39694669892546697
100,1200,5.0,128,0.2,0.001291549665014884,0.12265045283714121,0.3895173506505154
50,1200,,128,0.2,0.7742636826811278,0.12284330282632638,0.3875960510958546
20,800,3.0,255,0.10278085328021955,0.00035938136638046257,0.12315677352899944,0.38446660689308243
20,400,5.0,255,0.03786479009414649,0.00035938136638046257,0.12339267966489986,0.3821062466336954
20,1200,3.0,255,0.07368062997280773,0.004641588833612782,0.12373428892132751,0.37868026693444534
100,800,5.0,64,0.03786479009414649,0.004641588833612782,0.12398023494438398,0.37620782393304664
100,800,5.0,64,0.14337423288737733,0.001291549665014884,0.1250861650337372,0.3650294706519229
100,800,5.0,64,0.14337423288737733,0.0001,0.12513402351838473,0.36454349299406297
50,200,5.0,255,0.10278085328021955,0.001291549665014884,0.1252698758316106,0.36316297160873734
50,800,3.0,255,0.2,0.05994842503189409,0.12544803980767372,0.36135021174003723
200,800,7.0,255,0.07368062997280773,2.782559402207126,0.12548471789331045,0.36097670449283425
100,800,5.0,255,0.10278085328021955,0.7742636826811278,0.12744654379811923,0.34083955526079635
10,400,5.0,64,0.14337423288737733,0.7742636826811278,0.12901128050158714,0.32455438750710586
10,800,3.0,255,0.2,10.0,0.13846213614555053,0.22196870120693912
200,1200,5.0,255,0.2,0.21544346900318845,0.13863155947772407,0.22006352619254343
